first,last,suffix,state,district,phone,party
 Ralph Lee,Abraham,,LA,d5,(202) 225-8490,R
 Alma S.,Adams,,NC,d12,(202) 225-1510,D
 Robert B.,Aderholt,,AL,d4,(202) 225-4876,R
 Pete,Aguilar,,CA,d31,(202) 225-3201,D
 Rick W.,Allen,,GA,d12,(202) 225-2823,R
 Justin,Amash,,MI,d3,(202) 225-3831,R
 Mark E.,Amodei,,NV,d2,(202) 225-6155,R
 Jodey C.,Arrington,,TX,d19,(202) 225-4005,R
 Brian,Babin,,TX,d36,(202) 225-1555,R
 Don,Bacon,,NE,d2,(202) 225-4155,R
 Jim,Banks,,IN,d3,(202) 225-4436,R
 Lou,Barletta,,PA,d11,(202) 225-6511,R
 Andy,Barr,,KY,d6,(202) 225-4706,R
 Nanette Diaz,Barrag��n,,CA,d44,(202) 225-8220,D
 Joe,Barton,,TX,d6,(202) 225-2002,R
 Karen,Bass,,CA,d37,(202) 225-7084,D
 Joyce,Beatty,,OH,d3,(202) 225-4324,D
 Xavier],[Becerra,,CA,d34,(202) 225-6235,D
 Ami,Bera,,CA,d7,(202) 225-5716,D
 Jack,Bergman,,MI,d1,(202) 225-4735,R
 Donald S.,Beyer, Jr.,VA,d8,(202) 225-4376,D
 Andy,Biggs,,AZ,d5,(202) 225-2635,R
 Gus M.,Bilirakis,,FL,d12,(202) 225-5755,R
 Mike,Bishop,,MI,d8,(202) 225-4872,R
 Rob,Bishop,,UT,d1,(202) 225-0453,R
 Sanford D.,Bishop, Jr.,GA,d2,(202) 225-3631,D
 Diane,Black,,TN,d6,(202) 225-4231,R
 Marsha,Blackburn,,TN,d7,(202) 225-2811,R
 Rod,Blum,,IA,d1,(202) 225-2911,R
 Earl,Blumenauer,,OR,d3,(202) 225-4811,D
 Lisa,Blunt Rochester,,DE,d1,(202) 225-4165,D
 Suzanne,Bonamici,,OR,d1,(202) 225-0855,D
 Madeleine Z.,Bordallo,,GU,d1,(202) 225-1188,D
 Mike,Bost,,IL,d12,(202) 225-5661,R
 Brendan F.,Boyle,,PA,d13,(202) 225-6111,D
 Kevin,Brady,,TX,d8,(202) 225-4901,R
 Robert A.,Brady,,PA,d1,(202) 225-4731,D
 Dave,Brat,,VA,d7,(202) 225-2815,R
 Jim,Bridenstine,,OK,d1,(202) 225-2211,R
