last_name,first_name,party,state,phone,class
Alexander,Lamar,R,TN,(202) 224-4944,Class II
Baldwin,Tammy,D,WI,(202) 224-5653,Class I
Barrasso,John,R,WY,(202) 224-6441,Class I
Bennet,Michael F.,D,CO,(202) 224-5852,Class III
Blumenthal,Richard,D,CT,(202) 224-2823,Class III
Blunt,Roy,R,MO,(202) 224-5721,Class III
Booker,Cory A.,D,NJ,(202) 224-3224,Class II
Boozman,John,R,AR,(202) 224-4843,Class III
Brown,Sherrod,D,OH,(202) 224-2315,Class I
Burr,Richard,R,NC,(202) 224-3154,Class III
Cantwell,Maria,D,WA,(202) 224-3441,Class I
Capito,Shelley Moore,R,WV,(202) 224-6472,Class II
Cardin,Benjamin L.,D,MD,(202) 224-4524,Class I
Carper,Thomas R.,D,DE,(202) 224-2441,Class I
Casey,"Robert P., Jr.",D,PA,(202) 224-6324,Class I
Cassidy,Bill,R,LA,(202) 224-5824,Class II
Cochran,Thad,R,MS,(202) 224-5054,Class II
Collins,Susan M.,R,ME,(202) 224-2523,Class II
Coons,Christopher A.,D,DE,(202) 224-5042,Class II
Corker,Bob,R,TN,(202) 224-3344,Class I
Cornyn,John,R,TX,(202) 224-2934,Class II
Cortez Masto,Catherine,D,NV,(202) 224-3542,Class III
Cotton,Tom,R,AR,(202) 224-2353,Class II
Crapo,Mike,R,ID,(202) 224-6142,Class III
Cruz,Ted,R,TX,(202) 224-5922,Class I
Daines,Steve,R,MT,(202) 224-2651,Class II
Donnelly,Joe,D,IN,(202) 224-4814,Class I
Duckworth,Tammy,D,IL,(202) 224-2854,Class III
Durbin,Richard J.,D,IL,(202) 224-2152,Class II
Enzi,Michael B.,R,WY,(202) 224-3424,Class II
Ernst,Joni,R,IA,(202) 224-3254,Class II
Feinstein,Dianne,D,CA,(202) 224-3841,Class I
Fischer,Deb,R,NE,(202) 224-6551,Class I
Flake,Jeff,R,AZ,(202) 224-4521,Class I
Franken,Al,D,MN,(202) 224-5641,Class II
Gardner,Cory,R,CO,(202) 224-5941,Class II
Gillibrand,Kirsten E.,D,NY,(202) 224-4451,Class I
Graham,Lindsey,R,SC,(202) 224-5972,Class II
Grassley,Chuck,R,IA,(202) 224-3744,Class III
Harris,Kamala D.,D,CA,(202) 224-3553,Class III
Hassan,Margaret Wood,D,NH,(202) 224-3324,Class III
Hatch,Orrin G.,R,UT,(202) 224-5251,Class I
Heinrich,Martin,D,NM,(202) 224-5521,Class I
Heitkamp,Heidi,D,ND,(202) 224-2043,Class I
Heller,Dean,R,NV,(202) 224-6244,Class I
Hirono,Mazie K.,D,HI,(202) 224-6361,Class I
Hoeven,John,R,ND,(202) 224-2551,Class III
Inhofe,James M.,R,OK,(202) 224-4721,Class II
Isakson,Johnny,R,GA,(202) 224-3643,Class III
Johnson,Ron,R,WI,(202) 224-5323,Class III
Kaine,Tim,D,VA,(202) 224-4024,Class I
Kennedy,John,R,LA,(202) 224-4623,Class III
King,"Angus S., Jr.",I,ME,(202) 224-5344,Class I
Klobuchar,Amy,D,MN,(202) 224-3244,Class I
Lankford,James,R,OK,(202) 224-5754,Class III
Leahy,Patrick J.,D,VT,(202) 224-4242,Class III
Lee,Mike,R,UT,(202) 224-5444,Class III
Manchin,"Joe, III",D,WV,(202) 224-3954,Class I
Markey,Edward J.,D,MA,(202) 224-2742,Class II
McCain,John,R,AZ,(202) 224-2235,Class III
McCaskill,Claire,D,MO,(202) 224-6154,Class I
McConnell,Mitch,R,KY,(202) 224-2541,Class II
Menendez,Robert,D,NJ,(202) 224-4744,Class I
Merkley,Jeff,D,OR,(202) 224-3753,Class II
