"zip"	"district"	"state"
"z00501"	NA	"NY"
"z00544"	NA	"NY"
"z00601"	NA	"PR"
"z00602"	NA	"PR"
"z00603"	NA	"PR"
"z00604"	NA	"PR"
"z00605"	NA	"PR"
"z00606"	NA	"PR"
"z00610"	NA	"PR"
"z00611"	NA	"PR"
"z00612"	NA	"PR"
"z00613"	NA	"PR"
"z00614"	NA	"PR"
"z00616"	NA	"PR"
"z00617"	NA	"PR"
"z00622"	NA	"PR"
"z00623"	NA	"PR"
"z00624"	NA	"PR"
"z00627"	NA	"PR"
"z00631"	NA	"PR"
"z00636"	NA	"PR"
"z00637"	NA	"PR"
"z00638"	NA	"PR"
"z00641"	NA	"PR"
"z00646"	NA	"PR"
"z00647"	NA	"PR"
"z00650"	NA	"PR"
"z00652"	NA	"PR"
"z00653"	NA	"PR"
"z00656"	NA	"PR"
"z00659"	NA	"PR"
"z00660"	NA	"PR"
"z00662"	NA	"PR"
"z00664"	NA	"PR"
"z00667"	NA	"PR"
"z00669"	NA	"PR"
"z00670"	NA	"PR"
"z00674"	NA	"PR"
"z00676"	NA	"PR"
"z00677"	NA	"PR"
"z00678"	NA	"PR"
"z00680"	NA	"PR"
"z00681"	NA	"PR"
"z00682"	NA	"PR"
"z00683"	NA	"PR"
"z00685"	NA	"PR"
"z00687"	NA	"PR"
"z00688"	NA	"PR"
"z00690"	NA	"PR"
"z00692"	NA	"PR"
"z00693"	NA	"PR"
"z00694"	NA	"PR"
"z00698"	NA	"PR"
"z00703"	NA	"PR"
"z00704"	NA	"PR"
"z00705"	NA	"PR"
"z00707"	NA	"PR"
"z00714"	NA	"PR"
"z00715"	NA	"PR"
"z00716"	NA	"PR"
"z00717"	NA	"PR"
"z00718"	NA	"PR"
"z00719"	NA	"PR"
"z00720"	NA	"PR"
"z00721"	NA	"PR"
"z00723"	NA	"PR"
"z00725"	NA	"PR"
"z00726"	NA	"PR"
"z00727"	NA	"PR"
"z00728"	NA	"PR"
"z00729"	NA	"PR"
"z00730"	NA	"PR"
"z00731"	NA	"PR"
"z00732"	NA	"PR"
"z00733"	NA	"PR"
"z00734"	NA	"PR"
"z00735"	NA	"PR"
"z00736"	NA	"PR"
