"zip","state","state_num","district"
"z00501","NY",NA,NA
"z00544","NY",NA,NA
"z00601","PR",NA,NA
"z00602","PR",NA,NA
"z00603","PR",NA,NA
"z00604","PR",NA,NA
"z00605","PR",NA,NA
"z00606","PR",NA,NA
"z00610","PR",NA,NA
"z00611","PR",NA,NA
"z00612","PR",NA,NA
"z00613","PR",NA,NA
"z00614","PR",NA,NA
"z00616","PR",NA,NA
"z00617","PR",NA,NA
"z00622","PR",NA,NA
"z00623","PR",NA,NA
"z00624","PR",NA,NA
"z00627","PR",NA,NA
"z00631","PR",NA,NA
"z00636","PR",NA,NA
"z00637","PR",NA,NA
"z00638","PR",NA,NA
"z00641","PR",NA,NA
"z00646","PR",NA,NA
"z00647","PR",NA,NA
"z00650","PR",NA,NA
"z00652","PR",NA,NA
"z00653","PR",NA,NA
"z00656","PR",NA,NA
"z00659","PR",NA,NA
"z00660","PR",NA,NA
"z00662","PR",NA,NA
"z00664","PR",NA,NA
"z00667","PR",NA,NA
"z00669","PR",NA,NA
"z00670","PR",NA,NA
"z00674","PR",NA,NA
"z00676","PR",NA,NA
"z00677","PR",NA,NA
"z00678","PR",NA,NA
"z00680","PR",NA,NA
"z00681","PR",NA,NA
"z00682","PR",NA,NA
"z00683","PR",NA,NA
"z00685","PR",NA,NA
"z00687","PR",NA,NA
"z00688","PR",NA,NA
"z00690","PR",NA,NA
"z00692","PR",NA,NA
"z00693","PR",NA,NA
"z00694","PR",NA,NA
"z00698","PR",NA,NA
"z00703","PR",NA,NA
"z00704","PR",NA,NA
"z00705","PR",NA,NA
"z00707","PR",NA,NA
"z00714","PR",NA,NA
"z00715","PR",NA,NA
"z00716","PR",NA,NA
"z00717","PR",NA,NA
"z00718","PR",NA,NA
"z00719","PR",NA,NA
"z00720","PR",NA,NA
"z00721","PR",NA,NA
"z00723","PR",NA,NA
"z00725","PR",NA,NA
"z00726","PR",NA,NA
"z00727","PR",NA,NA
"z00728","PR",NA,NA
"z00729","PR",NA,NA
"z00730","PR",NA,NA
"z00731","PR",NA,NA
"z00732","PR",NA,NA
"z00733","PR",NA,NA
"z00734","PR",NA,NA
"z00735","PR",NA,NA
"z00736","PR",NA,NA
"z00737","PR",NA,NA
"z00738","PR",NA,NA
"z00739","PR",NA,NA
"z00740","PR",NA,NA
"z00741","PR",NA,NA
"z00742","PR",NA,NA
"z00744","PR",NA,NA
"z00745","PR",NA,NA
"z00751","PR",NA,NA
"z00754","PR",NA,NA
"z00757","PR",NA,NA
"z00765","PR",NA,NA
"z00766","PR",NA,NA
"z00767","PR",NA,NA
"z00769","PR",NA,NA
"z00771","PR",NA,NA
"z00772","PR",NA,NA
"z00773","PR",NA,NA
"z00775","PR",NA,NA
"z00777","PR",NA,NA
"z00778","PR",NA,NA
"z00780","PR",NA,NA
"z00782","PR",NA,NA
"z00783","PR",NA,NA
"z00784","PR",NA,NA
"z00785","PR",NA,NA
"z00786","PR",NA,NA
"z00791","PR",NA,NA
"z00792","PR",NA,NA
"z00794","PR",NA,NA
"z00795","PR",NA,NA
"z00801","VI",NA,NA
"z00802","VI",NA,NA
"z00803","VI",NA,NA
"z00804","VI",NA,NA
"z00805","VI",NA,NA
"z00820","VI",NA,NA
"z00821","VI",NA,NA
"z00822","VI",NA,NA
"z00823","VI",NA,NA
"z00824","VI",NA,NA
"z00830","VI",NA,NA
"z00831","VI",NA,NA
"z00840","VI",NA,NA
"z00841","VI",NA,NA
"z00850","VI",NA,NA
"z00851","VI",NA,NA
"z00901","PR",NA,NA
"z00902","PR",NA,NA
"z00906","PR",NA,NA
"z00907","PR",NA,NA
"z00908","PR",NA,NA
"z00909","PR",NA,NA
"z00910","PR",NA,NA
"z00911","PR",NA,NA
"z00912","PR",NA,NA
"z00913","PR",NA,NA
"z00914","PR",NA,NA
"z00915","PR",NA,NA
"z00916","PR",NA,NA
"z00917","PR",NA,NA
"z00918","PR",NA,NA
"z00919","PR",NA,NA
"z00920","PR",NA,NA
"z00921","PR",NA,NA
"z00922","PR",NA,NA
"z00923","PR",NA,NA
"z00924","PR",NA,NA
"z00925","PR",NA,NA
"z00926","PR",NA,NA
"z00927","PR",NA,NA
"z00928","PR",NA,NA
"z00929","PR",NA,NA
"z00930","PR",NA,NA
"z00931","PR",NA,NA
"z00933","PR",NA,NA
"z00934","PR",NA,NA
"z00935","PR",NA,NA
"z00936","PR",NA,NA
"z00937","PR",NA,NA
"z00939","PR",NA,NA
"z00940","PR",NA,NA
"z00949","PR",NA,NA
"z00950","PR",NA,NA
"z00951","PR",NA,NA
"z00952","PR",NA,NA
"z00953","PR",NA,NA
"z00954","PR",NA,NA
"z00955","PR",NA,NA
"z00956","PR",NA,NA
"z00957","PR",NA,NA
"z00958","PR",NA,NA
"z00959","PR",NA,NA
"z00960","PR",NA,NA
"z00961","PR",NA,NA
"z00962","PR",NA,NA
"z00963","PR",NA,NA
"z00965","PR",NA,NA
"z00966","PR",NA,NA
"z00968","PR",NA,NA
"z00969","PR",NA,NA
"z00970","PR",NA,NA
"z00971","PR",NA,NA
"z00975","PR",NA,NA
"z00976","PR",NA,NA
"z00977","PR",NA,NA
"z00978","PR",NA,NA
"z00979","PR",NA,NA
"z00981","PR",NA,NA
"z00982","PR",NA,NA
"z00983","PR",NA,NA
"z00984","PR",NA,NA
"z00985","PR",NA,NA
"z00986","PR",NA,NA
"z00987","PR",NA,NA
"z00988","PR",NA,NA
"z01001","MA",25,"1"
"z01002","MA",25,"2"
"z01003","MA",25,"2"
"z01004","MA",NA,NA
"z01005","MA",25,"2"
"z01007","MA",25,"2"
"z01008","MA",25,"1"
"z01009","MA",25,"1"
"z01010","MA",25,"1"
"z01011","MA",25,"1"
"z01012","MA",25,"1"
"z01013","MA",25,"1"
"z01014","MA",NA,NA
"z01020","MA",25,"1"
"z01021","MA",NA,NA
"z01022","MA",25,"1"
"z01026","MA",25,"1"
"z01027","MA",25,"1"
"z01028","MA",25,"1"
"z01029","MA",25,"1"
"z01030","MA",25,"1"
"z01031","MA",25,"2"
"z01032","MA",25,"1"
"z01033","MA",25,"1"
"z01034","MA",25,"1"
"z01035","MA",25,"2"
"z01036","MA",25,"1"
"z01037","MA",25,"2"
"z01038","MA",25,"2"
"z01039","MA",25,"1"
"z01040","MA",25,"1"
"z01041","MA",NA,NA
"z01050","MA",25,"1"
"z01053","MA",25,"2"
"z01054","MA",25,"2"
"z01056","MA",25,"1"
"z01057","MA",25,"1"
"z01059","MA",NA,NA
"z01060","MA",25,"2"
"z01061","MA",NA,NA
"z01062","MA",25,"2"
"z01063","MA",25,"2"
"z01066","MA",25,"2"
"z01068","MA",25,"2"
"z01069","MA",25,"1"
"z01070","MA",25,"1"
"z01071","MA",25,"1"
"z01072","MA",25,"2"
"z01073","MA",25,"1"
"z01074","MA",25,"2"
"z01075","MA",25,"1"
"z01077","MA",25,"1"
"z01079","MA",25,"1"
"z01080","MA",25,"1"
"z01081","MA",25,"1"
"z01082","MA",25,"2"
"z01083","MA",25,"1"
"z01084","MA",25,"1"
"z01085","MA",25,"1"
"z01086","MA",25,"1"
"z01088","MA",25,"2"
"z01089","MA",25,"1"
"z01090","MA",NA,NA
"z01092","MA",25,"1"
"z01093","MA",25,"2"
"z01094","MA",25,"2"
"z01095","MA",25,"1"
"z01096","MA",25,"1"
"z01097","MA",25,"1"
"z01098","MA",25,"1"
"z01101","MA",NA,NA
"z01102","MA",NA,NA
"z01103","MA",25,"1"
"z01104","MA",25,"1"
"z01105","MA",25,"1"
"z01106","MA",25,"1"
"z01107","MA",25,"1"
"z01108","MA",25,"1"
"z01109","MA",25,"1"
"z01111","MA",NA,NA
"z01115","MA",NA,NA
"z01116","MA",NA,NA
"z01118","MA",25,"1"
"z01119","MA",25,"1"
"z01128","MA",25,"1"
"z01129","MA",25,"1"
"z01133","MA",NA,NA
"z01138","MA",NA,NA
"z01139","MA",NA,NA
"z01144","MA",NA,NA
"z01151","MA",25,"1"
"z01152","MA",NA,NA
"z01195","MA",NA,NA
"z01199","MA",25,"1"
"z01201","MA",25,"1"
"z01202","MA",NA,NA
"z01203","MA",NA,NA
"z01220","MA",25,"1"
"z01222","MA",25,"1"
"z01223","MA",25,"1"
"z01224","MA",25,"1"
"z01225","MA",25,"1"
"z01226","MA",25,"1"
"z01227","MA",NA,NA
"z01229","MA",25,"1"
"z01230","MA",25,"1"
"z01235","MA",25,"1"
"z01236","MA",25,"1"
"z01237","MA",25,"1"
"z01238","MA",25,"1"
"z01240","MA",25,"1"
"z01242","MA",25,"1"
"z01243","MA",25,"1"
"z01244","MA",25,"1"
"z01245","MA",25,"1"
"z01247","MA",25,"1"
"z01252","MA",NA,NA
"z01253","MA",25,"1"
"z01254","MA",25,"1"
"z01255","MA",25,"1"
"z01256","MA",25,"1"
"z01257","MA",25,"1"
"z01258","MA",25,"1"
"z01259","MA",25,"1"
"z01260","MA",25,"1"
"z01262","MA",25,"1"
"z01263","MA",NA,NA
"z01264","MA",25,"1"
"z01266","MA",25,"1"
"z01267","MA",25,"1"
"z01270","MA",25,"1"
"z01301","MA",25,"1"
"z01302","MA",NA,NA
"z01330","MA",25,"1"
"z01331","MA",25,"2"
"z01337","MA",25,"1"
"z01338","MA",25,"1"
"z01339","MA",25,"1"
"z01340","MA",25,"1"
"z01341","MA",25,"1"
"z01342","MA",25,"2"
"z01343","MA",25,"1"
"z01344","MA",25,"2"
"z01346","MA",25,"1"
"z01347","MA",25,"2"
"z01349","MA",25,"2"
"z01350","MA",25,"1"
"z01351","MA",25,"2"
"z01354","MA",25,"2"
"z01355","MA",25,"2"
"z01360","MA",25,"2"
"z01364","MA",25,"2"
"z01366","MA",25,"2"
"z01367","MA",25,"1"
"z01368","MA",25,"2"
"z01370","MA",25,"1"
"z01373","MA",25,"2"
"z01375","MA",25,"2"
"z01376","MA",25,"2"
"z01378","MA",25,"2"
"z01379","MA",25,"2"
"z01380","MA",NA,NA
"z01420","MA",25,"2"
"z01430","MA",25,"3"
"z01431","MA",25,"3"
"z01432","MA",25,"3"
"z01434","MA",25,"3"
"z01436","MA",25,"2"
"z01438","MA",25,"2"
"z01440","MA",25,"2"
"z01441","MA",NA,NA
"z01450","MA",25,"3"
"z01451","MA",25,"3"
"z01452","MA",25,"2"
"z01453","MA",25,"2"
"z01460","MA",25,"3"
"z01462","MA",25,"3"
"z01463","MA",25,"3"
"z01464","MA",25,"3"
"z01467","MA",25,"3"
"z01468","MA",25,"2"
"z01469","MA",25,"3"
"z01470","MA",NA,NA
"z01471","MA",NA,NA
"z01472","MA",NA,NA
"z01473","MA",25,"3"
"z01474","MA",25,"3"
"z01475","MA",25,"2"
"z01477","MA",NA,NA
"z01501","MA",25,"2"
